# ─── Length 4 ──────────────────────────────────
ꯈ꯭ꯔꯦ   # e.g ꯂꯣꯢꯈ꯭ꯔꯦ

# ─── Length 3 ──────────────────────────────────   
ꯀꯥꯟ   # e.g ꯍꯧꯖꯤꯛꯀꯥꯟ
ꯀꯣꯜ   # e.g ꯂꯧꯀꯣꯜ
ꯀꯨꯝ    # e.g ꯍꯥꯀꯨꯝ
ꯁꯥꯛ   # e.g ꯀꯣꯕꯤꯁꯥꯛ
ꯁꯤꯜ   # e.g ꯆꯪꯁꯤꯜꯂꯤ
ꯁꯤꯟ   # e.g ꯎꯁꯤꯟ
ꯁꯤꯡ   # e.g ꯊꯧꯑꯣꯡꯁꯤꯡ
ꯁꯨꯝ    # e.g ꯃꯤꯁꯨꯝ,ꯄꯤꯁꯨꯝ
ꯂꯥꯢ     # e.g ꯈꯨꯠꯂꯥꯏ, ꯒꯣꯂꯥꯏ
ꯂꯨꯞ     # e.g ꯀꯥꯡꯂꯨꯞ
ꯂꯦꯝ    # e.g ꯃꯥꯂꯦꯝ
ꯂꯣꯟ   # e.g ꯀꯥꯡꯂꯣꯟ
ꯂꯣꯏ    # e.g ꯌꯦꯡꯍꯜꯂꯣꯢ
ꯂꯛꯏ   # e.g ꯍꯜꯂꯛꯏ 
ꯃꯥꯡ    # e.g  ꯃꯥꯃꯥꯡ
ꯃꯤꯟ   # e.g ꯈꯪꯃꯤꯟꯅꯕ
ꯃꯤꯠ   # e.g ꯅꯨꯃꯤꯠ
ꯃꯨꯛ    # e.g ꯑꯃꯨꯛꯇꯪ
ꯄꯨꯝ    # e.g ꯃꯇꯝꯄꯨꯝꯕ
ꯄꯨꯡ    # e.g ꯃꯄꯨꯡ
ꯄ꯭ꯔ    # e.g ꯎꯔꯥꯛꯄ꯭ꯔ
ꯅꯥꯢ     # e.g ꯈꯨꯟꯅꯥꯏ , ꯃꯤꯅꯥꯏ
ꯅꯤꯡ     # e.g ꯃꯥꯅꯤꯡ
ꯅꯨꯡ     # e.g ꯃꯅꯨꯡ
ꯆꯤꯟ    # e.g ꯎꯆꯤꯟ-ꯅꯆꯤꯟꯅ
ꯇꯥꯛ     # e.g ꯄꯥꯎꯇꯥꯛ
ꯇꯨꯝ     # e.g ꯃꯇꯨꯝ
ꯇ꯭ꯔ     # e.g ꯑꯣꯢꯔꯛꯇ꯭ꯔ
ꯈꯥꯢ     # e.g ꯃꯈꯥꯢ
ꯈꯨꯝ     # e.g ꯃꯥꯢꯈꯨꯝ
ꯈꯣꯢ    # e.g ꯑꯩꯈꯣꯢ
ꯉꯥꯛ    # e.g ꯂꯩꯉꯥꯛ
ꯉꯥꯟ    # e.g ꯇꯣꯉꯥꯟ-ꯇꯣꯉꯥꯟ, ꯑꯥꯉꯥꯟꯕꯥ
ꯉꯥꯢ    # e.g ꯏꯉꯥꯢ
ꯊꯨꯝ     # e.g ꯃꯔꯜ-ꯃꯊꯨꯝ
ꯊꯣꯛ     # e.g ꯈꯣꯟꯊꯣꯛ
ꯊꯣꯡ     # e.g ꯌꯨꯝꯊꯣꯡ
ꯊꯣꯢ     # e.g ꯏꯆꯥꯊꯣꯢ
ꯋꯥꯢ     # e.g ꯍꯧꯖꯤꯛꯋꯥꯢ
ꯌꯥꯝ     # e.g ꯃꯌꯨꯝ
ꯌꯦꯛ    # e.g ꯃꯌꯦꯛ
ꯍꯥꯛ     # e.g ꯃꯍꯥꯛ
ꯍꯥꯠ     # e.g ꯃꯤꯍꯥꯠ
ꯑꯣꯢ    # e.g ꯃꯤꯑꯣꯢ 
ꯐꯥꯎ     # e.g ꯑꯗꯨꯐꯥꯎ
