word,true_stem,stem
ꯄꯟꯂꯣꯟ,ꯄꯟ
ꯇꯉꯥꯢꯐꯗ꯭ꯔ,ꯇ
ꯂꯨꯁꯤꯡ,ꯂꯨ
ꯊꯧꯁꯤꯡꯒꯤ,ꯊꯧ
ꯅꯤꯡꯁꯤꯡꯂꯛꯄꯥ,ꯅꯤꯡ
ꯏꯀꯥꯏ,ꯀꯥꯏ
ꯈꯨꯝꯅꯕꯥ,ꯈꯨꯝ
ꯎꯠꯄꯥ,ꯎꯠ
ꯄꯨꯝꯅꯃꯛꯅꯤ,ꯄꯨꯝ
ꯇꯧꯒꯗꯕꯅꯤ,ꯇꯧ
ꯃꯁꯤꯒꯥ,ꯃ
ꯂꯣꯏꯅꯥ,ꯂꯣꯏ
ꯍꯥꯏꯕꯁꯤꯗꯥ,ꯍꯥꯏ
ꯃꯒꯨꯟ,ꯒꯨꯟ
ꯂꯩꯔꯕ,ꯂꯩf
ꯃꯤꯑꯣꯢꯕꯗꯥ,ꯃꯤ
ꯈꯪꯅꯒꯅꯤ,ꯈꯪ
ꯃꯊꯛ,ꯊꯛ
ꯂꯩꯔꯤꯕ,ꯂꯩ
ꯑꯃꯈꯛ,ꯃ
ꯄꯥꯎꯈꯨꯝ,ꯄꯥꯎ
ꯂꯩꯕ,ꯂꯩ
ꯇꯉꯥꯢꯐꯗ꯭ꯔꯕꯥ,ꯇ
ꯐꯗꯕꯥ,ꯐ
ꯃꯈꯜ,ꯃ
ꯃꯈꯜꯒꯤ,ꯃ
ꯀꯨꯞꯅꯥ,ꯀꯨꯞ
ꯎꯅꯕꯥ,ꯅ
ꯃꯔꯝꯗꯤ,ꯔꯝ
ꯏꯕꯦꯝꯃ,ꯕꯦꯝ
ꯑꯃꯕꯨ,ꯃ
ꯌꯥꯏ,ꯌꯥꯏ
ꯂꯩꯃ,ꯂꯩ
ꯂꯩꯕꯥꯛꯁꯤꯗꯥ,ꯂꯩ
ꯄꯣꯛꯈꯤꯕꯅꯤ,ꯄꯣꯛ
ꯃꯍꯥꯛ,ꯍꯥꯛ
ꯂꯥꯏꯐꯝꯒꯤ,ꯂꯥꯏ
ꯑꯍꯥꯟꯕꯥ,ꯍꯥꯟ
ꯃꯃꯥ,ꯃꯥ
ꯃꯄꯥꯅꯥ,ꯄꯥ
ꯅꯤꯡꯁꯤꯡꯒꯗꯕꯥ,ꯅꯤꯡ
ꯊꯧꯗꯥꯡ,ꯊꯧ
ꯂꯧꯔꯝꯈꯤ,ꯂꯧ
ꯄꯨꯝꯅꯃꯛꯁꯨ,ꯄꯨꯝ
ꯃꯍꯩ,ꯍꯩ
ꯃꯁꯤꯡ,ꯁꯤꯡ
ꯈꯪꯂꯛꯄꯥ,ꯈꯪ
ꯂꯩꯔꯝꯂꯕꯥ,ꯂꯩ
ꯃꯍꯥꯛꯀꯤ,ꯍꯥꯛ
ꯃꯊꯧꯗꯒꯤ,ꯊꯧ
ꯑꯃꯨꯛꯇꯥ,ꯃꯨꯛ
ꯂꯩꯔꯤꯕꯅꯤ,ꯂꯩ
ꯑꯣꯖꯥꯁꯤꯡ,ꯑꯣ
ꯂꯝꯗꯝꯁꯤꯒꯤ,ꯂꯝ
ꯃꯌꯥꯝ,ꯌꯥꯝ
ꯑꯃ,ꯃ
ꯂꯩꯈꯤꯕꯅꯤ,ꯂꯩ
ꯃꯍꯩꯒꯤ,ꯍꯩ
ꯑꯣꯏꯕꯒꯨꯝꯅꯥ,ꯑꯣꯏ
ꯈꯨꯗꯝ,ꯈꯨ
ꯃꯤꯊꯧ,ꯃꯤ
ꯊꯕꯛꯁꯤꯡ,ꯊ
ꯂꯩꯕꯒꯨꯝꯅꯥ,ꯂꯩ
ꯃꯍꯥꯛꯄꯨ,ꯍꯥꯛ
ꯎꯠꯆꯔꯤ,ꯎꯠ
ꯂꯥꯏꯔꯤꯛꯀꯤ,ꯂꯥꯏ
ꯏꯕꯥ,ꯕꯥ
ꯀꯔꯤꯒꯨꯝꯕꯥ,ꯀ
ꯊꯧꯅꯥ,ꯊꯧ
ꯐꯅꯥ,ꯐ
ꯊꯥꯖꯕ,ꯊꯥ
ꯑꯣꯏꯒꯗꯕꯅꯤ,ꯑꯣꯏ
ꯁꯤꯡ,ꯁꯤꯡ
ꯊꯧꯒꯜꯗꯥ,ꯊꯧ
ꯆꯪꯊꯣꯛꯇꯨꯅꯥ,ꯆꯪ
ꯁꯦꯕꯥ,ꯁꯦ
ꯅꯨꯃꯤꯠ,ꯅꯨ
ꯉꯝꯂꯣꯏ,ꯉꯝ
ꯊꯕꯛꯅꯥ,ꯊ
ꯇꯝꯕꯥ,ꯇꯝ
ꯌꯥꯕꯥ,ꯌꯥ
ꯂꯣꯏꯁꯤꯟꯕꯥ,ꯂꯣꯏ
ꯈꯜꯂꯤ,ꯈꯜ
ꯈꯨꯗꯝꯗꯥ,ꯈꯨ
ꯊꯕꯛ,ꯊ
ꯋꯥꯈꯜꯅꯥ,ꯋꯥ
ꯆꯠꯃꯤꯟꯅꯒꯅꯤ,ꯆꯠ
ꯇꯥꯔꯕꯗꯤ,ꯇꯥ
ꯂꯥꯏ,ꯂꯥꯏ
ꯊꯤꯕꯗꯥ,ꯊꯤ
ꯀꯠꯊꯣꯛꯀꯅꯤ,ꯀꯠ
ꯄꯨꯝꯅꯃꯛꯀꯤ,ꯄꯨꯝ
ꯀꯥꯟꯅꯕꯥ,ꯀꯥꯟ
ꯎꯕꯥ,ꯎ
ꯐꯪꯂꯕꯗꯤ,ꯐꯪ
ꯂꯝꯕꯤ,ꯂꯝ
ꯑꯉꯥꯡꯁꯤꯡꯒꯤ,ꯉꯥꯡ
ꯄꯥꯡꯕꯗꯥ,ꯄꯥꯡ
ꯈꯨꯅꯥꯢ,ꯈꯨꯟ
ꯑꯆꯧꯕꯥ,ꯆꯧ
ꯂꯧꯒꯅꯤ,ꯂꯧ
ꯈꯨꯗꯣꯡꯆꯥꯕꯥ,ꯈꯨ
ꯊꯤꯕꯥ,ꯊꯤ
ꯇꯧꯕꯗꯥ,ꯇꯧ
ꯊꯕꯛꯁꯤꯡꯗꯥ,ꯊ
ꯑꯣꯏꯔꯛꯈꯤ,ꯑꯣꯏ
ꯂꯩꯉꯥꯛꯀꯤ,ꯂꯩ
ꯊꯕꯛꯇꯥ,ꯊ
ꯄꯨꯟꯁꯤꯕꯨ,ꯄꯨꯟ
ꯄꯥꯡꯂꯛꯈꯤ,ꯄꯥꯡ
ꯈꯪꯅꯔꯛꯈꯤ,ꯈꯪ
ꯂꯧꯈꯤ,ꯂꯧ
ꯊꯋꯥꯢ,ꯊ
ꯌꯥꯎꯅꯥ,ꯌꯥꯎ
ꯆꯪꯁꯤꯜꯂꯛꯈꯤ,ꯆꯪ
ꯀꯌꯥꯗꯥ,ꯌꯥ
ꯁꯔꯨꯛ,ꯁ
ꯌꯥꯗꯨꯅꯥ,ꯌꯥ
ꯃꯃꯤꯡ,ꯃꯤꯡ
ꯆꯠꯂꯛꯈꯤ,ꯆꯠ
ꯂꯨꯄꯥ,ꯂꯨ
ꯂꯧꯗꯨꯅꯥ,ꯂꯧ
ꯀꯌꯥ,ꯌꯥ
ꯆꯤꯡ,ꯌꯥ
ꯇꯝ,ꯌꯥ
ꯇꯧꯈꯤ,ꯇꯧ
ꯃꯍꯥꯛ,ꯍꯥꯛ
ꯔꯤꯁꯤ,ꯔꯤ
ꯇꯔꯥꯅꯤꯊꯣꯢꯗꯥ,ꯇ
ꯌꯨꯝꯗꯥ,ꯌꯨꯝ
ꯄꯣꯛꯈꯤ,ꯄꯣꯛ
ꯃꯃꯥꯒꯤ,ꯃꯥ
ꯁꯥꯔꯗꯥ,ꯁꯥꯔ
ꯃꯄꯥꯒꯤ,ꯄꯥ
ꯃꯄꯥ,ꯄꯥ
ꯑꯣꯏꯕꯗꯥ,ꯑꯣꯏ
ꯅꯠꯇꯅꯥ,ꯅꯠ
ꯑꯣꯏꯕꯒꯨꯝ,ꯑꯣꯏ
ꯁꯦꯜꯊꯨꯝ,ꯁꯦꯜ
ꯋꯥꯔꯦꯞꯄꯨ,ꯋꯥ
ꯇꯥꯎꯍꯜꯂꯤ,ꯇꯥꯎ
ꯃꯁꯨꯝꯅꯥ,ꯁꯨꯝ
ꯄꯨꯝꯅꯥ,ꯄꯨꯝ
ꯇꯣꯏꯅꯥ,ꯇꯣꯏ
ꯃꯁꯦꯜꯅꯥ,ꯁꯦꯜ
ꯃꯆꯥꯁꯥ,ꯆꯥ
ꯃꯥꯔꯥꯏ,ꯃꯥ
ꯇꯧꯔꯕ,ꯇꯧ
ꯃꯣꯏꯒꯤ,ꯃꯣꯏ
ꯄꯥꯡꯗꯦ,ꯄꯥꯡ
ꯁꯦꯜꯊꯨꯝꯒꯤ,ꯁꯦꯜ
ꯇꯦꯜꯂꯛꯄꯥ,ꯇꯦꯜ
ꯁꯥꯒꯠꯄꯥ,ꯁꯥ
ꯁꯪꯂꯝꯕ,ꯁꯪ
ꯇꯣꯉꯥꯟꯕꯥ,ꯇꯣ
ꯃꯆꯥꯎ,ꯆꯥꯎ
ꯆꯥꯎꯅꯥ,ꯆꯥꯎ
ꯄꯣꯛꯂꯝꯃꯤ,ꯄꯣꯛ
ꯁꯥꯟꯕ,ꯁꯥꯟ
ꯂꯥꯏꯔꯤꯛꯁꯤꯡꯒꯤ,ꯂꯥꯏ
ꯃꯆꯥ,ꯆꯥ
ꯃꯆꯥꯒꯤ,ꯆꯥ
ꯂꯤꯔꯕ,ꯂꯤ
ꯃꯆꯥꯊꯣꯢꯒꯤ,ꯆꯥ
ꯂꯧꯃꯤ,ꯂꯧ
ꯁꯣꯏꯅꯥ,ꯁꯣꯏ
ꯀꯣꯏꯔꯝꯃꯤ,ꯀꯣꯏ
ꯂꯨꯠ,ꯂꯨꯠ
ꯃꯨꯔꯥꯒ,ꯃꯨ
ꯃꯥꯔꯒ,ꯃꯥꯔ
ꯇꯦꯜꯂꯛꯄꯒꯤ,ꯇꯦꯜ
ꯇꯦꯛꯂꯛꯄꯒꯤ,ꯇꯦꯛ
ꯂꯥꯝꯁꯥꯒꯤ,ꯂꯥꯝ
ꯄꯥꯗꯕ,ꯄꯥ
ꯃꯔꯨꯝꯗꯥ,ꯔꯨꯝ
ꯀꯪꯂꯕ,ꯀꯪ
ꯃꯆꯟ,ꯆꯟ
ꯄꯥꯛꯄꯥ,ꯄꯥꯛ
ꯃꯦꯔꯥꯒꯤ,ꯃꯦ
ꯃꯒꯤ,ꯃ
ꯋꯥꯟꯗꯕ,ꯋꯥꯟ
ꯃꯥꯁꯤ,ꯃꯥ
ꯃꯥꯇꯩꯃꯒꯤ,ꯃꯥ
ꯂꯥꯝꯕ,ꯂꯥꯝ
ꯂꯦꯇ꯭ꯔ,ꯂꯦ
ꯃꯁꯤꯔꯥ,ꯁꯤ
ꯄꯣꯛꯄꯤ,ꯄꯣꯛ
ꯅꯞ,ꯅꯞ
ꯃꯥꯔꯤꯗꯥ,ꯃꯥ
ꯇꯧꯏ,ꯇꯧ
ꯂꯤꯠꯄ,ꯂꯤꯠ
ꯃꯁꯨꯝ,ꯁꯨꯝ
ꯇꯦꯜꯂꯣ,ꯇꯦꯜ
ꯃꯆꯩ,ꯆꯩ
ꯃꯟꯕꯥ,ꯃꯟ
ꯁꯨꯝꯅꯥ,ꯁꯨꯝ
ꯃꯂꯥꯒꯤ,ꯂꯥ
ꯄꯥꯠ,ꯄꯥꯠ
ꯃꯆꯒꯤ,ꯆ
ꯃꯁꯥꯅ,ꯁꯥ
ꯃꯩꯔꯥ,ꯃꯩ
ꯏꯆꯦ,ꯆꯦ
ꯃꯥꯂꯦꯝꯒꯤ,ꯃꯥ
ꯃꯤꯔꯦꯝ,ꯃꯤ
