word,true_stem,stem
ꯄꯟꯂꯣꯟ,ꯄꯟ,ꯄꯟ
ꯇꯉꯥꯢꯐꯗ꯭ꯔ,ꯇ,ꯇ
ꯂꯨꯁꯤꯡ,ꯂꯨ,ꯂꯨ
ꯊꯧꯁꯤꯡꯒꯤ,ꯊꯧ,ꯊꯧ
ꯅꯤꯡꯁꯤꯡꯂꯛꯄꯥ,ꯅꯤꯡ,ꯅꯤꯡ
ꯏꯀꯥꯏ,ꯀꯥꯏ,ꯀꯥꯏ
ꯈꯨꯝꯅꯕꯥ,ꯈꯨꯝ,ꯈꯨꯝ
ꯎꯠꯄꯥ,ꯎꯠ,ꯎꯠ
ꯄꯨꯝꯅꯃꯛꯅꯤ,ꯄꯨꯝ,ꯄꯨꯝ
ꯇꯧꯒꯗꯕꯅꯤ,ꯇꯧ,ꯇꯧ
ꯃꯁꯤꯒꯥ,ꯃ,ꯁꯤ
ꯂꯣꯏꯅꯥ,ꯂꯣꯏ,ꯂꯣꯏ
ꯍꯥꯏꯕꯁꯤꯗꯥ,ꯍꯥꯏ,ꯍꯥꯏ
ꯃꯒꯨꯟ,ꯒꯨꯟ,ꯒꯨꯟ
ꯂꯩꯔꯕ,ꯂꯩf,ꯂꯩ
ꯃꯤꯑꯣꯢꯕꯗꯥ,ꯃꯤ,ꯃꯤ
ꯈꯪꯅꯒꯅꯤ,ꯈꯪ,ꯈꯪ
ꯃꯊꯛ,ꯊꯛ,ꯊꯛ
ꯂꯩꯔꯤꯕ,ꯂꯩ,ꯂꯩ
ꯑꯃꯈꯛ,ꯃ,ꯃ
ꯄꯥꯎꯈꯨꯝ,ꯄꯥꯎ,ꯄꯥꯎ
ꯂꯩꯕ,ꯂꯩ,ꯂꯩ
ꯇꯉꯥꯢꯐꯗ꯭ꯔꯕꯥ,ꯇ,ꯇ
ꯐꯗꯕꯥ,ꯐ,ꯐ
ꯃꯈꯜ,ꯃ,ꯈꯜ
ꯃꯈꯜꯒꯤ,ꯃ,ꯈꯜ
ꯀꯨꯞꯅꯥ,ꯀꯨꯞ,ꯀꯨꯞ
ꯎꯅꯕꯥ,ꯅ,ꯅ
ꯃꯔꯝꯗꯤ,ꯔꯝ,ꯔꯝ
ꯏꯕꯦꯝꯃ,ꯕꯦꯝ,ꯕꯦꯝ
ꯑꯃꯕꯨ,ꯃ,ꯃ
ꯌꯥꯏ,ꯌꯥꯏ,ꯌꯥꯏ
ꯂꯩꯃ,ꯂꯩ,ꯂꯩ
